city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Smithfield Heights,Smithfield Heights,-16.8314,145.691,Australia,AU,AUS,Queensland,,5303,1036797461
Smithton,Smithton,-40.844,145.12,Australia,AU,AUS,Tasmania,,3881,1036207188
Somerville,Somerville,-38.226,145.177,Australia,AU,AUS,Victoria,,11336,1036275983
South Grafton,South Grafton,-29.715,152.9344,Australia,AU,AUS,New South Wales,,6068,1036377966
Southern Cross,Southern Cross,-31.25,119.35,Australia,AU,AUS,Western Australia,,680,1036931490
Southport,Southport,-27.9667,153.4,Australia,AU,AUS,Queensland,,31908,1036417513
Springwood,Springwood,-33.6967,150.5683,Australia,AU,AUS,New South Wales,,8475,1036106857
Stanthorpe,Stanthorpe,-28.6547,151.935,Australia,AU,AUS,Queensland,,5406,1036976908
Stawell,Stawell,-37.05,142.7667,Australia,AU,AUS,Victoria,,6032,1036073093
Strathalbyn,Strathalbyn,-35.2667,138.9,Australia,AU,AUS,South Australia,,6504,1036708974
Streaky Bay,Streaky Bay,-32.8,134.2167,Australia,AU,AUS,South Australia,,1378,1036134944
Sunbury,Sunbury,-37.5811,144.7139,Australia,AU,AUS,Victoria,,36084,1036519781
Swan Hill,Swan Hill,-35.3333,143.55,Australia,AU,AUS,Victoria,,11103,1036220501
Sydney,Sydney,-33.865,151.2094,Australia,AU,AUS,New South Wales,admin,5312163,1036074917
Tahmoor,Tahmoor,-34.2233,150.5928,Australia,AU,AUS,New South Wales,,5067,1036345521
Tamworth,Tamworth,-31.0833,150.9167,Australia,AU,AUS,New South Wales,,42872,1036233388
Tannum Sands,Tannum Sands,-23.9474,151.3675,Australia,AU,AUS,Queensland,,5145,1036139879
Taree,Taree,-31.9,152.45,Australia,AU,AUS,New South Wales,,26381,1036855717
Thargomindah,Thargomindah,-28,143.8167,Australia,AU,AUS,Queensland,,270,1036793708
Theodore,Theodore,-24.95,150.0833,Australia,AU,AUS,Queensland,,438,1036423364
Three Springs,Three Springs,-29.5333,115.717,Australia,AU,AUS,Western Australia,,381,1036669084
Tom Price,Tom Price,-22.6939,117.795,Australia,AU,AUS,Western Australia,,3005,1036464109
Toowoomba,Toowoomba,-27.5667,151.95,Australia,AU,AUS,Queensland,,136861,1036765315
Torquay,Torquay,-38.3333,144.3167,Australia,AU,AUS,Victoria,,13258,1036765457
Townsville,Townsville,-19.2564,146.8183,Australia,AU,AUS,Queensland,,180820,1036500020
Traralgon,Traralgon,-38.1958,146.5403,Australia,AU,AUS,Victoria,,25485,1036938861
Tumby Bay,Tumby Bay,-34.3667,136.1,Australia,AU,AUS,South Australia,,1474,1036529327
Tumut,Tumut,-35.3047,148.2228,Australia,AU,AUS,New South Wales,,6230,1036777587
Tuncurry,Tuncurry,-32.175,152.4989,Australia,AU,AUS,New South Wales,,6186,1036846186
Tweed Heads,Tweed Heads,-28.1833,153.55,Australia,AU,AUS,New South Wales,,8176,1036571941
Ulladulla,Ulladulla,-35.3486,150.4678,Australia,AU,AUS,New South Wales,,15278,1036687220
Ulverstone,Ulverstone,-41.1667,146.1667,Australia,AU,AUS,Tasmania,,14109,1036014544
Urraween,Urraween,-25.2955,152.8219,Australia,AU,AUS,Queensland,,6969,1036945468
Victor Harbor,Victor Harbor,-35.55,138.6167,Australia,AU,AUS,South Australia,,4233,1036536547
Wagga Wagga,Wagga Wagga,-35.1189,147.3689,Australia,AU,AUS,New South Wales,,56442,1036273188
Wagin,Wagin,-33.3167,117.35,Australia,AU,AUS,Western Australia,,1824,1036851354
Wallan,Wallan,-37.4167,144.9833,Australia,AU,AUS,Victoria,,8520,1036357414
Wallaroo,Wallaroo,-33.9167,137.6167,Australia,AU,AUS,South Australia,,3988,1036743246
Wangaratta,Wangaratta,-36.3583,146.3125,Australia,AU,AUS,Victoria,,19318,1036395326
Warragul,Warragul,-38.15,145.9333,Australia,AU,AUS,Victoria,,14276,1036504084
Warrnambool,Warrnambool,-38.3833,142.4833,Australia,AU,AUS,Victoria,,35214,1036291219
Warwick,Warwick,-28.2152,152.0352,Australia,AU,AUS,Queensland,,15380,1036412726
Waterford,Waterford,-27.6833,153.133,Australia,AU,AUS,Queensland,,6431,1036727537
Wauchope,Wauchope,-31.465,152.7344,Australia,AU,AUS,New South Wales,,6312,1036327296
Weipa,Weipa,-12.6167,141.8667,Australia,AU,AUS,Queensland,,3899,1036501067
Wentworth Falls,Wentworth Falls,-33.7164,150.3772,Australia,AU,AUS,New South Wales,,6076,1036272828
Wentworthville,Wentworthville,-33.8233,150.9678,Australia,AU,AUS,New South Wales,,6197,1036489931
West Tamworth,West Tamworth,-31.0894,150.9436,Australia,AU,AUS,New South Wales,,5342,1036187167
Whittlesea,Whittlesea,-37.5139,145.114,Australia,AU,AUS,Victoria,,5611,1036742059
Whyalla,Whyalla,-33.0333,137.5667,Australia,AU,AUS,South Australia,,21742,1036961366
Wilcannia,Wilcannia,-31.565,143.3678,Australia,AU,AUS,New South Wales,,745,1036134474
Windorah,Windorah,-25.4206,142.6547,Australia,AU,AUS,Queensland,,115,1036272226
Wingham,Wingham,-31.85,152.367,Australia,AU,AUS,New South Wales,,5374,1036745521
Winton,Winton,-22.3913,143.0381,Australia,AU,AUS,Queensland,,875,1036031036
Wodonga,Wodonga,-36.1214,146.8881,Australia,AU,AUS,Victoria,,35130,1036788540
Wollert,Wollert,-37.597,145.033,Australia,AU,AUS,Victoria,,9060,1036068932
Wollongong,Wollongong,-34.4331,150.8831,Australia,AU,AUS,New South Wales,,302739,1036502269
Wonthaggi,Wonthaggi,-38.6056,145.5917,Australia,AU,AUS,Victoria,,4965,1036415078
Woodend,Woodend,-37.363,144.526,Australia,AU,AUS,Victoria,,5806,1036376029
Woolgoolga,Woolgoolga,-30.115,153.2011,Australia,AU,AUS,New South Wales,,5290,1036143859
Woomera,Woomera,-31.1496,136.8,Australia,AU,AUS,South Australia,,450,1036392822
Worragee,Worragee,-34.9144,150.6386,Australia,AU,AUS,New South Wales,,5068,1036339460
Wyndham,Wyndham,-15.4825,128.123,Australia,AU,AUS,Western Australia,,780,1036474435
Wynyard,Wynyard,-41,145.7167,Australia,AU,AUS,Tasmania,,6001,1036260821
Yamba,Yamba,-29.4333,153.35,Australia,AU,AUS,New South Wales,,6076,1036259324
Yanchep,Yanchep,-31.55,115.634,Australia,AU,AUS,Western Australia,,8868,1036796651
Yarrawonga,Yarrawonga,-36.0167,146,Australia,AU,AUS,Victoria,,7930,1036458763
Yass,Yass,-34.8203,148.9136,Australia,AU,AUS,New South Wales,,6506,1036799517
Yeppoon,Yeppoon,-23.1333,150.7333,Australia,AU,AUS,Queensland,,19003,1036180170
Young,Young,-34.3,148.3,Australia,AU,AUS,New South Wales,,10295,1036073044
Yulara,Yulara,-25.2406,130.9889,Australia,AU,AUS,Northern Territory,,1099,1036245584
